Timestamp,Alpha_Power,Beta_Power,Raw_Ratio,Smoothed_Ratio,Audio_State
14:55:08.554,2275.3243,129.2892,0.0568,0.0568,ambient
14:55:10.559,2672.8779,160.4267,0.0600,0.0584,ambient
14:55:12.563,2737.1463,180.6085,0.0660,0.0609,ambient
14:55:14.567,2488.1434,191.8391,0.0771,0.0650,ambient
14:55:16.571,2055.7549,214.6002,0.1044,0.0729,ambient
14:55:18.575,1809.4344,215.7134,0.1192,0.0853,ambient
14:55:20.580,2074.3797,187.3158,0.0903,0.0914,ambient
14:55:22.585,2454.3694,178.1211,0.0726,0.0927,ambient
14:55:24.588,2561.2297,214.8157,0.0839,0.0941,ambient
14:55:26.594,2357.5484,247.1917,0.1049,0.0942,ambient
14:55:28.598,2040.6395,218.9976,0.1073,0.0918,ambient
14:55:30.602,1983.6615,171.5725,0.0865,0.0910,ambient
14:55:32.605,2468.5563,167.5408,0.0679,0.0901,ambient
14:55:34.609,3077.8184,184.3191,0.0599,0.0853,ambient
14:55:36.613,3249.4771,194.7362,0.0599,0.0763,ambient
14:55:38.617,2869.1018,208.1370,0.0725,0.0693,ambient
14:55:40.621,2222.6535,208.7227,0.0939,0.0708,ambient
14:55:42.626,1895.0427,181.0792,0.0956,0.0764,ambient
14:55:44.629,1987.6498,144.2335,0.0726,0.0789,ambient
14:55:46.631,2014.2346,115.7963,0.0575,0.0784,ambient
14:55:48.635,1915.8914,129.3196,0.0675,0.0774,ambient
14:55:50.640,1936.4628,178.6389,0.0923,0.0771,ambient
14:55:52.643,2105.9937,205.9187,0.0978,0.0775,ambient
14:55:54.648,2244.8548,200.9265,0.0895,0.0809,ambient
14:55:56.652,2379.7351,186.3246,0.0783,0.0851,ambient
14:55:58.656,2527.3973,164.5291,0.0651,0.0846,ambient
14:56:00.659,2443.9934,151.2025,0.0619,0.0785,ambient
14:56:02.662,2175.1811,151.8380,0.0698,0.0729,ambient
14:56:04.666,2128.8474,159.4840,0.0749,0.0700,ambient
14:56:06.670,2384.5122,165.9322,0.0696,0.0683,ambient
14:56:08.673,2547.6210,162.1343,0.0636,0.0680,ambient
14:56:10.678,2339.4239,167.3090,0.0715,0.0699,ambient
14:56:12.681,1933.3809,222.4846,0.1151,0.0789,ambient
14:56:14.685,1885.1193,270.9554,0.1437,0.0927,ambient
14:56:16.690,2279.3255,262.0568,0.1150,0.1018,ambient
14:56:18.756,2730.9142,274.9510,0.1007,0.1092,ambient
14:56:20.760,3191.0207,354.4772,0.1111,0.1171,ambient
14:56:22.765,3682.9943,404.3264,0.1098,0.1161,ambient
14:56:24.768,4150.5939,413.5152,0.0996,0.1072,ambient
14:56:26.773,4758.1057,440.9263,0.0927,0.1028,ambient
