Timestamp,Alpha_Power,Beta_Power,Raw_Ratio,Smoothed_Ratio,Audio_State
15:01:18.975,2273.7347,472.8539,0.2080,0.2080,focus
15:01:20.979,2546.4294,567.9578,0.2230,0.2155,focus
15:01:22.984,2336.0191,534.5617,0.2288,0.2199,focus
15:01:24.986,2192.2016,437.5713,0.1996,0.2149,focus
15:01:26.991,2403.5044,385.9070,0.1606,0.2040,focus
15:01:28.996,2572.5547,384.2231,0.1494,0.1923,focus
15:01:31.000,2522.4303,446.0930,0.1769,0.1830,focus
15:01:33.004,2379.5941,534.9988,0.2248,0.1822,focus
15:01:35.009,2263.3396,531.8704,0.2350,0.1893,focus
15:01:37.016,2390.7632,476.1872,0.1992,0.1970,focus
15:01:39.019,2470.0702,453.6700,0.1837,0.2039,focus
15:01:41.025,2396.0041,427.5444,0.1784,0.2042,focus
15:01:43.038,2478.0511,399.6622,0.1613,0.1915,focus
15:01:45.042,2511.5784,404.6992,0.1611,0.1767,focus
15:01:47.046,2233.0968,399.0232,0.1787,0.1726,focus
15:01:49.050,2050.3550,394.4080,0.1924,0.1744,focus
15:01:51.056,2169.2396,421.5974,0.1944,0.1776,focus
15:01:53.059,2421.9517,451.4207,0.1864,0.1826,focus
15:01:55.063,2650.7465,487.8682,0.1840,0.1872,focus
15:01:57.068,2675.1033,524.4651,0.1961,0.1906,focus
15:01:59.071,2458.8550,486.5903,0.1979,0.1917,focus
15:02:01.074,2360.1315,444.4740,0.1883,0.1905,focus
15:02:03.078,2534.9063,490.2992,0.1934,0.1919,focus
15:02:05.084,2729.9812,575.7624,0.2109,0.1973,focus
15:02:07.088,2681.8091,584.6107,0.2180,0.2017,focus
15:02:09.091,2375.3272,528.4150,0.2225,0.2066,focus
15:02:11.095,1997.9532,486.7383,0.2436,0.2177,focus
15:02:13.100,1835.2693,456.9699,0.2490,0.2288,focus
15:02:15.104,2068.6925,403.7334,0.1952,0.2256,focus
15:02:17.107,2319.5050,362.4527,0.1563,0.2133,focus
15:02:19.112,2211.3954,387.8606,0.1754,0.2039,focus
15:02:21.114,1916.2410,412.0102,0.2150,0.1982,focus
15:02:23.119,1797.2294,384.6161,0.2140,0.1912,focus
15:02:25.122,1978.5001,392.1898,0.1982,0.1918,focus
15:02:27.173,2249.9000,441.0050,0.1960,0.1997,focus
15:02:29.176,2347.3400,448.8309,0.1912,0.2029,focus
15:02:31.180,2258.8754,414.5926,0.1835,0.1966,focus
15:02:33.184,2093.2687,380.9359,0.1820,0.1902,focus
15:02:35.187,2052.1479,373.8959,0.1822,0.1870,focus
15:02:37.192,2285.6659,379.3486,0.1660,0.1810,focus
15:02:39.195,2642.9281,369.8147,0.1399,0.1707,focus
15:02:41.199,2603.4379,344.9819,0.1325,0.1605,focus
